File name,Width (W/d),Height (H/d),Phi,Event No.,Frame rate,No arch [frame],Arch made [frame],Arch break [frame],t_flow [s],t_arch [s],V_flow [mm3],V_arch [mm3],notes
"w2,7_h3,6_ts500_phic_1ml,min_100fps_6",,,,,,,,,,,,,
,2.7,3.6,,1,100,420,508,1481,0.88,9.73,14.66666667,0,permanent
,2.7,3.6,,2,100,1481,1982,2044,5.01,0.62,83.5,10.33333333,partial arch
,2.7,3.6,,3,100,2044,2092,2138,0.48,0.46,8,7.666666667,partial arch
,2.7,3.6,,4,100,2138,2218,2251,0.8,0.33,13.33333333,5.5,A series of breaking and reforming archs
,2.7,3.6,,5,100,2251,2266,2333,0.15,0.67,2.5,11.16666667,temp    
,2.7,3.6,,6,100,2333,2342,3720,0.09,13.78,1.5,0,permanent
,2.7,3.6,,7,100,3720,3920,4989,2,10.69,33.33333333,0,permanent
,2.7,3.6,,8,100,4989,5025,5508,0.36,4.83,6,0,permanent
,2.7,3.6,,9,100,5508,5634,5817,1.26,1.83,21,30.5,temp    
,2.7,3.6,,10,100,5817,6160,6181,3.43,0.21,57.16666667,0,temp    
,2.7,3.6,,11,100,6181,6669,7852,4.88,11.83,81.33333333,0,permanent
,2.7,3.6,,12,100,7852,7969,8325,1.17,3.56,19.5,59.33333333,temp    
,2.7,3.6,,13,100,8325,8548,9372,2.23,8.24,37.16666667,0,permanent
,2.7,3.6,,14,100,9372,9729,9776,3.57,0.47,59.5,7.833333333,temp partial arch
,2.7,3.6,,15,100,9776,9872,9894,0.96,0.22,16,0,temp    
,2.7,3.6,,16,100,9894,10534,12055,6.4,15.21,106.6666667,0,"permanent, a few granules leaked"
,2.7,3.6,,17,100,12055,12303,,2.48,,41.33333333,0,video ended
